tweet_id,username,text,created_at,location,source,url
1554595415365824512,memeedoka,war devil my beloved https://t.co/P7Cib1tlOA,2022-08-02 22:30:04+00:00,,Twitter Web App,https://twitter.com/memeedoka/status/1554595415365824512
1554595365323694081,MokkaMaruu,"War Devil Pitcher 
#sketch  #art  #drawing 
#Feedback  #chainsawman #wardevil #baseball   #イラスト https://t.co/lBAKWb64AL",2022-08-02 22:29:52+00:00,Earth,Twitter Web App,https://twitter.com/MokkaMaruu/status/1554595365323694081
1554595051493376000,Joshtructlon,I cant make fun of PJ or anyone else for simping for Makima I would totally simp for War Devil I fear,2022-08-02 22:28:37+00:00,,Twitter Web App,https://twitter.com/Joshtructlon/status/1554595051493376000
1554591562734002177,VESSELFORWAR,"https://t.co/1WhRfJagi0

Who else loves the live laugh love adventures of Asa and yoru the war devil manga ™️",2022-08-02 22:14:46+00:00,,Twitter for iPhone,https://twitter.com/VESSELFORWAR/status/1554591562734002177
1554588851644932102,mitski_xx,I wonder if the war devil says this from personal experience or from the possession of other people 🤔 https://t.co/aJKvsIUieW,2022-08-02 22:03:59+00:00,she/her | ace | 19,Twitter for iPhone,https://twitter.com/mitski_xx/status/1554588851644932102
1554579077088018434,goshingbot,War Devil fin troppo collaborativa finora ... Something is cominggg,2022-08-02 21:25:09+00:00,,Twitter for Android,https://twitter.com/goshingbot/status/1554579077088018434
1554575806982197249,nomnomispretty,i feel like the war devil is a yassified control devil https://t.co/xgAi7t3p1A,2022-08-02 21:12:09+00:00,bed,Twitter for iPhone,https://twitter.com/nomnomispretty/status/1554575806982197249
1554565144692133888,draagOn_lo,"i love csm part two, the dynamic between asa and yoru is so interesting, like im rooting for asa to take control of the war devil, because right now fujimoto is setting her up as a tragic character, he’s making us sympathize with asa but in the end she’s most likely going get…",2022-08-02 20:29:47+00:00,schlagenheim,Twitter for iPhone,https://twitter.com/draagOn_lo/status/1554565144692133888
1554560275034116096,SIRENZ___,when niggas walk by asa arguing with the war devil and literally no one is next to her https://t.co/yvUen3LkG2,2022-08-02 20:10:26+00:00,miruko’s thighs,Twitter for iPhone,https://twitter.com/SIRENZ___/status/1554560275034116096
1554559789925007362,rettroper,"War devil

#chainsawman101 #チェンソーマン #chainsawman https://t.co/KNouZd4rTF",2022-08-02 20:08:30+00:00,,Twitter Web App,https://twitter.com/rettroper/status/1554559789925007362
